size;resolution;mask_size;nanoseconds
3;320x180;3x3;19380600
3;320x180;5x5;41104400
3;320x180;7x7;123001600
3;320x180;9x9;150332500
3;320x180;11x11;236308900
3;320x180;13x13;312257400
3;320x180;15x15;448959300
2;160x90;3x3;3549600
2;160x90;5x5;9334300
2;160x90;7x7;20189100
2;160x90;9x9;35439300
2;160x90;11x11;55920600
2;160x90;13x13;84651500
2;160x90;15x15;102568600
1;80x45;3x3;733100
1;80x45;5x5;2158300
1;80x45;7x7;4386000
1;80x45;9x9;10374300
1;80x45;11x11;16778500
1;80x45;13x13;19469400
1;80x45;15x15;29720800
5;1280x720;3x3;232746200
5;1280x720;5x5;681537600
5;1280x720;7x7;1430558400
5;1280x720;9x9;2482987900
5;1280x720;11x11;3847444500
5;1280x720;13x13;4508768000
5;1280x720;15x15;6268060600
4;640x360;3x3;52423300
4;640x360;5x5;155116700
4;640x360;7x7;307915100
4;640x360;9x9;509935900
4;640x360;11x11;779829800
4;640x360;13x13;1108997100
4;640x360;15x15;1487452300
3;320x180;3x3;17045600
3;320x180;5x5;40038400
3;320x180;7x7;80382900
3;320x180;9x9;132932300
3;320x180;11x11;196955900
3;320x180;13x13;296076800
3;320x180;15x15;405388200
2;160x90;3x3;3097500
2;160x90;5x5;15758900
2;160x90;7x7;18516800
2;160x90;9x9;33161700
2;160x90;11x11;45537400
2;160x90;13x13;71155500
2;160x90;15x15;82386300
1;80x45;3x3;734700
1;80x45;5x5;2189200
1;80x45;7x7;6105900
1;80x45;9x9;7234200
1;80x45;11x11;11634900
1;80x45;13x13;16360700
1;80x45;15x15;19217900
5;1280x720;3x3;209909700
5;1280x720;5x5;636901500
5;1280x720;7x7;1313020000
5;1280x720;9x9;2181466200
5;1280x720;11x11;3425572200
5;1280x720;13x13;5463032900
5;1280x720;15x15;7299134700
4;640x360;3x3;54674600
4;640x360;5x5;172378700
4;640x360;7x7;399707700
4;640x360;9x9;603094200
4;640x360;11x11;951928600
4;640x360;13x13;1401164600
4;640x360;15x15;1981803700
3;320x180;3x3;13371900
3;320x180;5x5;51413700
3;320x180;7x7;105248300
3;320x180;9x9;176334300
3;320x180;11x11;259308400
3;320x180;13x13;309682700
3;320x180;15x15;397090100
2;160x90;3x3;5718300
2;160x90;5x5;14603900
2;160x90;7x7;23304200
2;160x90;9x9;39653600
2;160x90;11x11;61022800
2;160x90;13x13;84620800
2;160x90;15x15;106616300
1;80x45;3x3;721600
1;80x45;5x5;2129800
1;80x45;7x7;5009200
1;80x45;9x9;8281900
1;80x45;11x11;10359300
1;80x45;13x13;14142700
1;80x45;15x15;24548500
5;1280x720;3x3;235778100
5;1280x720;5x5;767989700
5;1280x720;7x7;1565143100
5;1280x720;9x9;2493728800
5;1280x720;11x11;3709127100
5;1280x720;13x13;4950211100
5;1280x720;15x15;5798768200
4;640x360;3x3;54700000
4;640x360;5x5;154228200
4;640x360;7x7;325726100
4;640x360;9x9;519324700
4;640x360;11x11;750608100
4;640x360;13x13;1115451200
4;640x360;15x15;1735586400
3;320x180;3x3;12456200
3;320x180;5x5;48717800
3;320x180;7x7;109368300
3;320x180;9x9;162499200
3;320x180;11x11;246273100
3;320x180;13x13;307814900
3;320x180;15x15;362880500
2;160x90;3x3;3131400
2;160x90;5x5;9140600
2;160x90;7x7;18894600
2;160x90;9x9;29995400
2;160x90;11x11;44192500
2;160x90;13x13;63994500
2;160x90;15x15;84242100
1;80x45;3x3;780200
1;80x45;5x5;2285200
1;80x45;7x7;4436700
1;80x45;9x9;7326000
1;80x45;11x11;10668100
1;80x45;13x13;16520000
1;80x45;15x15;21610200
5;1280x720;3x3;195271000
5;1280x720;5x5;616737700
5;1280x720;7x7;1211407200
5;1280x720;9x9;1991988700
5;1280x720;11x11;3508754500
5;1280x720;13x13;4425788100
5;1280x720;15x15;5834983300
4;640x360;3x3;56216400
4;640x360;5x5;185736600
4;640x360;7x7;403241700
4;640x360;9x9;652818000
4;640x360;11x11;976874900
4;640x360;13x13;1321708800
4;640x360;15x15;1784906100
3;320x180;3x3;20554100
3;320x180;5x5;42751800
3;320x180;7x7;104680300
3;320x180;9x9;173121600
3;320x180;11x11;251241400
3;320x180;13x13;358003100
