size;resolution;mask_size;nanoseconds
5;1280x720;13x13;300195000
5;1280x720;15x15;378396100
4;640x360;3x3;4933500
4;640x360;5x5;11505700
4;640x360;7x7;21418100
4;640x360;9x9;34703300
4;640x360;11x11;52995700
4;640x360;13x13;74143200
4;640x360;15x15;93907300
3;320x180;3x3;1614300
3;320x180;5x5;3200800
3;320x180;7x7;5683600
3;320x180;9x9;8931600
3;320x180;11x11;13076600
3;320x180;13x13;18011500
3;320x180;15x15;23723000
2;160x90;3x3;1036200
2;160x90;5x5;1846500
2;160x90;7x7;3095300
2;160x90;9x9;4697200
2;160x90;11x11;6689900
2;160x90;13x13;8944600
2;160x90;15x15;11731400
1;80x45;3x3;718400
1;80x45;5x5;1295700
1;80x45;7x7;2059200
1;80x45;9x9;3104900
1;80x45;11x11;4344000
1;80x45;13x13;5795100
1;80x45;15x15;7459500
5;1280x720;3x3;18553600
5;1280x720;5x5;43845900
5;1280x720;7x7;83047700
5;1280x720;9x9;133962400
5;1280x720;11x11;199252600
5;1280x720;13x13;314396100
5;1280x720;15x15;394384500
4;640x360;3x3;6087700
4;640x360;5x5;11989900
4;640x360;7x7;22542300
4;640x360;9x9;37221200
4;640x360;11x11;53976100
4;640x360;13x13;74849700
4;640x360;15x15;98842700
3;320x180;3x3;1952100
3;320x180;5x5;3529300
3;320x180;7x7;6018300
3;320x180;9x9;9789300
3;320x180;11x11;13303600
3;320x180;13x13;18710500
3;320x180;15x15;23798800
2;160x90;3x3;987400
2;160x90;5x5;1910800
2;160x90;7x7;2946600
2;160x90;9x9;4670200
2;160x90;11x11;6672300
2;160x90;13x13;9072700
2;160x90;15x15;11989300
1;80x45;3x3;897900
1;80x45;5x5;1586100
1;80x45;7x7;2051400
1;80x45;9x9;3069100
1;80x45;11x11;4408600
1;80x45;13x13;5897400
1;80x45;15x15;7449700
5;1280x720;3x3;18212700
5;1280x720;5x5;44076900
5;1280x720;7x7;80948200
5;1280x720;9x9;138184900
5;1280x720;11x11;200431600
5;1280x720;13x13;287351800
5;1280x720;15x15;383670300
