size;resolution;window_size;nanoseconds
3;320x180;9x9;729100
3;320x180;11x11;1032900
3;320x180;13x13;22022700
3;320x180;15x15;705700
2;160x90;3x3;24819500
2;160x90;5x5;624100
2;160x90;7x7;19866700
2;160x90;9x9;15895300
2;160x90;11x11;833800
2;160x90;13x13;27914500
2;160x90;15x15;15516500
1;80x45;3x3;1639400
1;80x45;5x5;31586100
1;80x45;7x7;31328400
1;80x45;9x9;806100
1;80x45;11x11;610600
1;80x45;13x13;4064400
1;80x45;15x15;6127100
5;1280x720;3x3;2395100
5;1280x720;5x5;2213100
5;1280x720;7x7;2382000
5;1280x720;9x9;2146700
5;1280x720;11x11;1964500
5;1280x720;13x13;2117700
5;1280x720;15x15;1925900
4;640x360;3x3;855000
4;640x360;5x5;953000
4;640x360;7x7;1508800
4;640x360;9x9;747800
4;640x360;11x11;939300
4;640x360;13x13;978600
4;640x360;15x15;792100
3;320x180;3x3;1450000
3;320x180;5x5;525300
3;320x180;7x7;518200
3;320x180;9x9;1426800
3;320x180;11x11;520900
3;320x180;13x13;567000
3;320x180;15x15;1553800
2;160x90;3x3;432000
2;160x90;5x5;1113500
2;160x90;7x7;372100
2;160x90;9x9;630100
2;160x90;11x11;419500
2;160x90;13x13;1256500
2;160x90;15x15;648600
1;80x45;3x3;618000
1;80x45;5x5;1691000
1;80x45;7x7;330300
1;80x45;9x9;1025900
1;80x45;11x11;422400
1;80x45;13x13;1476300
1;80x45;15x15;427300
5;1280x720;3x3;46642100
5;1280x720;5x5;22978700
5;1280x720;7x7;6763500
5;1280x720;9x9;2527400
5;1280x720;11x11;2858900
5;1280x720;13x13;6479600
5;1280x720;15x15;15790700
4;640x360;3x3;31156900
4;640x360;5x5;17601400
4;640x360;7x7;1705300
4;640x360;9x9;13353400
4;640x360;11x11;15586400
4;640x360;13x13;15837900
4;640x360;15x15;11287600
3;320x180;3x3;1873900
3;320x180;5x5;3636500
3;320x180;7x7;862200
3;320x180;9x9;684700
3;320x180;11x11;626200
3;320x180;13x13;692500
3;320x180;15x15;6445100
2;160x90;3x3;24004100
2;160x90;5x5;958800
2;160x90;7x7;2181000
2;160x90;9x9;3195700
2;160x90;11x11;4750100
2;160x90;13x13;6962600
2;160x90;15x15;9227500
1;80x45;3x3;11901200
1;80x45;5x5;739800
1;80x45;7x7;519900
1;80x45;9x9;1432700
1;80x45;11x11;426300
1;80x45;13x13;552200
1;80x45;15x15;3392700
5;1280x720;3x3;2770200
