size;resolution;mask_size;nanoseconds
3;320x180;11x11;1654800
3;320x180;13x13;1267700
3;320x180;15x15;1389200
2;160x90;3x3;732100
2;160x90;5x5;789600
2;160x90;7x7;829900
2;160x90;9x9;678700
2;160x90;11x11;718500
2;160x90;13x13;766000
2;160x90;15x15;854700
1;80x45;3x3;582500
1;80x45;5x5;541900
1;80x45;7x7;562800
1;80x45;9x9;590600
1;80x45;11x11;623700
1;80x45;13x13;672500
1;80x45;15x15;735300
5;1280x720;3x3;6391100
5;1280x720;5x5;7728600
5;1280x720;7x7;9172600
5;1280x720;9x9;11238700
5;1280x720;11x11;13913700
5;1280x720;13x13;17381000
5;1280x720;15x15;21291300
4;640x360;3x3;1900700
4;640x360;5x5;2034200
4;640x360;7x7;2505500
4;640x360;9x9;2861000
4;640x360;11x11;3371500
4;640x360;13x13;4035500
4;640x360;15x15;4882100
3;320x180;3x3;941300
3;320x180;5x5;917000
3;320x180;7x7;1070900
3;320x180;9x9;1221500
3;320x180;11x11;1372900
3;320x180;13x13;1287700
3;320x180;15x15;1460300
2;160x90;3x3;600500
2;160x90;5x5;593900
2;160x90;7x7;641600
2;160x90;9x9;690000
2;160x90;11x11;769900
2;160x90;13x13;942700
2;160x90;15x15;1110100
1;80x45;3x3;609000
1;80x45;5x5;643300
1;80x45;7x7;669500
1;80x45;9x9;691600
1;80x45;11x11;727300
1;80x45;13x13;774400
1;80x45;15x15;832300
5;1280x720;3x3;6792300
5;1280x720;5x5;7271600
5;1280x720;7x7;8738200
5;1280x720;9x9;10107700
5;1280x720;11x11;12462300
5;1280x720;13x13;14789900
5;1280x720;15x15;17965000
4;640x360;3x3;2314500
4;640x360;5x5;1975600
4;640x360;7x7;2295700
4;640x360;9x9;2410600
4;640x360;11x11;2880800
4;640x360;13x13;3403200
4;640x360;15x15;4028600
3;320x180;3x3;792100
3;320x180;5x5;822000
3;320x180;7x7;1010000
3;320x180;9x9;1022700
3;320x180;11x11;1099800
3;320x180;13x13;1251200
3;320x180;15x15;1398100
2;160x90;3x3;556600
2;160x90;5x5;589100
2;160x90;7x7;648400
2;160x90;9x9;668300
2;160x90;11x11;772800
2;160x90;13x13;819600
2;160x90;15x15;897700
1;80x45;3x3;649700
1;80x45;5x5;677100
1;80x45;7x7;687700
1;80x45;9x9;662700
1;80x45;11x11;651700
1;80x45;13x13;820000
1;80x45;15x15;835100
5;1280x720;3x3;6431400
5;1280x720;5x5;7032900
5;1280x720;7x7;7959100
5;1280x720;9x9;9540100
5;1280x720;11x11;10975700
5;1280x720;13x13;12884800
5;1280x720;15x15;15018700
4;640x360;3x3;1684000
4;640x360;5x5;1775400
4;640x360;7x7;1966300
4;640x360;9x9;2290500
4;640x360;11x11;2697000
4;640x360;13x13;3103000
4;640x360;15x15;3603000
3;320x180;3x3;809400
3;320x180;5x5;826900
3;320x180;7x7;909400
3;320x180;9x9;1025900
3;320x180;11x11;1113500
3;320x180;13x13;1182400
3;320x180;15x15;1345300
2;160x90;3x3;595800
2;160x90;5x5;665400
2;160x90;7x7;634000
2;160x90;9x9;676400
2;160x90;11x11;787000
2;160x90;13x13;842100
2;160x90;15x15;896000
1;80x45;3x3;608000
1;80x45;5x5;576900
1;80x45;7x7;567900
1;80x45;9x9;725200
1;80x45;11x11;647200
1;80x45;13x13;664700
1;80x45;15x15;794500
5;1280x720;3x3;7022500
5;1280x720;5x5;7862900
5;1280x720;7x7;9620200
5;1280x720;9x9;11464500
5;1280x720;11x11;14195700
5;1280x720;13x13;17404600
5;1280x720;15x15;20896400
4;640x360;3x3;2181600
4;640x360;5x5;2400200
4;640x360;7x7;2797200
4;640x360;9x9;3153000
4;640x360;11x11;3736000
4;640x360;13x13;4663400
4;640x360;15x15;5219800
3;320x180;3x3;1358800
3;320x180;5x5;1288100
3;320x180;7x7;1363800
3;320x180;9x9;1521400
3;320x180;11x11;1613500
3;320x180;13x13;1865900
3;320x180;15x15;2171800
2;160x90;3x3;604800
2;160x90;5x5;595400
2;160x90;7x7;1039800
2;160x90;9x9;1152500
2;160x90;11x11;1114500
2;160x90;13x13;959100
2;160x90;15x15;1077400
1;80x45;3x3;1024600
1;80x45;5x5;701700
1;80x45;7x7;652800
1;80x45;9x9;1091900
1;80x45;11x11;1096300
1;80x45;13x13;1119300
1;80x45;15x15;1115500
5;1280x720;3x3;6786700
5;1280x720;5x5;9431200
5;1280x720;7x7;11673300
5;1280x720;9x9;14865600
5;1280x720;11x11;14138600
5;1280x720;13x13;14643300
5;1280x720;15x15;16728500
4;640x360;3x3;2124700
4;640x360;5x5;1808000
4;640x360;7x7;2443600
4;640x360;9x9;2743500
4;640x360;11x11;3164500
4;640x360;13x13;3626600
4;640x360;15x15;4211800
3;320x180;3x3;1213000
3;320x180;5x5;1217500
3;320x180;7x7;935700
3;320x180;9x9;989700
3;320x180;11x11;1485400
3;320x180;13x13;1626300
3;320x180;15x15;1684000
2;160x90;3x3;928400
2;160x90;5x5;962600
2;160x90;7x7;984900
2;160x90;9x9;1018900
2;160x90;11x11;1125200
2;160x90;13x13;1152700
2;160x90;15x15;1257800
1;80x45;3x3;958400
1;80x45;5x5;922400
1;80x45;7x7;909300
1;80x45;9x9;1105300
1;80x45;11x11;660100
1;80x45;13x13;1229500
